10^2,10^3,10^4,10^5,10^6,10^7
2000,8000,96000,1039000,9169000,92572000
2000,13000,144000,1044000,8988000,97044000
2000,8000,99000,992000,9033000,95401000
2000,10000,115000,1374000,9131000,91493000
1000,7000,179000,854000,9333000,97642000
2000,10000,171000,915000,10759000,88662000
1000,18000,274000,1196000,9303000,92760000
2000,14000,91000,946000,9312000,106210000
2000,11000,169000,922000,9002000,89370000
2000,14000,134000,834000,9707000,93181000
2000,14000,143000,832000,10837000,88043000
2000,12000,156000,785000,9284000,164097000
1000,9000,156000,1331000,9973000,97522000
2000,8000,168000,855000,14711000,87737000
2000,12000,152000,928000,9714000,94604000
2000,11000,93000,1501000,9221000,91854000
2000,9000,137000,940000,9840000,92420000
2000,10000,98000,1347000,10170000,92453000
1000,11000,151000,865000,9742000,111480000
2000,10000,118000,794000,9131000,103523000
2000,8000,132000,848000,9563000,96891000
2000,9000,125000,822000,9358000,163056000
1000,9000,147000,803000,9306000,92096000
2000,11000,109000,798000,9437000,91566000
2000,8000,165000,775000,9227000,91432000
2000,12000,142000,1066000,8980000,91144000
1000,18000,89000,929000,9096000,105312000
1000,12000,134000,1019000,16807000,91672000
2000,9000,155000,882000,9167000,89838000
1000,11000,149000,828000,10540000,93291000
1000,10000,190000,787000,10243000,90675000
1000,17000,134000,893000,9340000,128377000
1000,8000,149000,820000,9158000,92992000
2000,9000,143000,877000,12259000,92839000
1000,11000,96000,887000,9005000,102800000
2000,7000,105000,1597000,8893000,105783000
2000,9000,149000,894000,8999000,93958000
2000,8000,140000,922000,8601000,131031000
1000,8000,94000,1066000,8546000,97933000
1000,10000,97000,873000,9042000,93604000
2000,18000,137000,893000,9171000,95437000
1000,14000,121000,1153000,10093000,91339000
1000,11000,126000,846000,9364000,90878000
2000,8000,89000,844000,12779000,95915000
1000,12000,87000,710000,9100000,95893000
2000,8000,263000,780000,11201000,100194000
1000,10000,137000,931000,9089000,88093000
2000,11000,138000,1078000,8740000,98038000
1000,8000,120000,904000,10495000,90404000
1000,7000,131000,835000,9022000,90175000
